id,artist,title,date_added
519,"Nuša Derenda","Naj Mi Dez Napolni Dlan","2018-11-22 10:12:44.583732"
520,Aerosmith,"I Don't Want To Miss A Thing","2018-11-22 10:12:44.577709"
521,"Genesis Phil Collins","Invisible Touch","2018-11-22 10:06:03.654700"
522,"Spice Girls",Wannabe,"2018-11-22 10:02:32.772607"
523,"Robbie Williams",Feel,"2018-11-22 10:02:32.771785"
524,"Cyndi Lauper","She Bop","2018-11-22 09:48:30.229052"
525,"Eric Clapton","My Fathers Eyes","2018-11-22 09:44:58.533909"
526,Prizma,Pogum,"2018-11-22 09:40:57.839338"
527,"Don Henley","The Boys Of Summer","2018-11-22 09:40:57.837449"
528,"Bloodhound Gang","The Bad Touch","2018-11-22 09:31:55.917923"
529,"Felix Jaehn Polina","Book Of Love","2018-11-22 09:31:25.826750"
530,Rednex,"Wish You Were Here","2018-11-22 09:17:53.240988"
531,"George Michael",Faith,"2018-11-22 09:14:52.658431"
532,Sia,"The Greatest","2018-11-22 09:08:50.910471"
533,"Shania Twain","That Don't Impress Me Much","2018-11-22 09:05:20.269865"
534,"Al Corley","Square Rooms","2018-11-22 09:01:18.479156"
535,"Spiller Sophie Ellis Bextor",Groovejet,"2018-11-22 09:01:18.478087"
536,Imany,"Don't Be So Shy","2018-11-22 08:51:15.662744"
537,"Ann Lee","2 Times","2018-11-22 08:47:14.930491"
538,"Eurythmics Annie Lennox","Sweet Dreams","2018-11-22 08:43:38.709876"
539,"Tony Cetinski","Kad Žena Zavoli","2018-11-22 08:43:38.707462"
540,"Billy's Private Parking","Hello Hello","2018-11-22 08:40:38.257475"
541,"Jonas Blue",Rise,"2018-11-22 08:04:44.671639"
542,"Deep Blue Something","Breakfast At Tiffanys","2018-11-22 08:03:14.449382"
543,"Enrique Iglesias","The Rhythm Divine","2018-11-22 07:49:12.197006"
544,Prince,"When Doves Cry","2018-11-22 07:46:38.975413"
545,"Lost Frequencies","Are You With Me","2018-11-22 07:42:38.266042"
546,Roxette,"It Must Have Been Love","2018-11-22 07:39:07.541009"
547,"Chris Rea","I Can Hear Your Heart Beat","2018-11-22 07:34:36.691186"
548,"Bruno Mars","Locked Out Of Heaven","2018-11-22 07:33:36.536063"
549,Madonna,"Like A Virgin","2018-11-22 07:20:33.186784"
550,"Maroon 5 Sza","What Lovers Do","2018-11-22 07:16:03.123942"
551,Reamonn,Supergirl,"2018-11-22 07:13:02.686128"
552,Anabel,"Klic Stran","2018-11-22 07:13:02.685087"
553,"Boris Gardiner","I Wanna Wake Up With You","2018-11-21 20:19:55.868573"
554,"Georgio Moroder","Together In Electric Dreams","2018-11-21 20:16:25.260622"
555,"Reo Speedwagon","Keep On Loving You","2018-11-21 20:12:54.698105"
556,"Eurythmics Annie Lennox","When Tomorrow Comes","2018-11-21 20:07:53.419871"
557,"Tears For Fears",Shout,"2018-11-21 20:04:51.954977"
558,Bangles,"Eternal Flame","2018-11-21 20:04:51.953118"
559,"Murray Head","One Night In Bangkok","2018-11-21 19:59:35.303848"
560,"Maroon 5",Sugar,"2018-11-21 19:53:42.173513"
561,"Maggie Reilly","Everytime We Touch","2018-11-21 19:49:32.473706"
562,"Goo Goo Dolls","Give A Little Bit","2018-11-21 19:46:31.975362"
563,Inxs,"By My Side","2018-11-21 19:43:01.343701"
564,S.A.R.S.,Lutka,"2018-11-21 19:39:00.731098"
565,"Bon Jovi","Bed Of Roses","2018-11-21 19:33:29.832129"
566,"Dire Straits","Sultans Of Swing","2018-11-21 19:30:59.451449"
567,Anabel,"Ob Kavi","2018-11-21 19:30:59.448530"
568,"Lionel Richie","Do It To Me","2018-11-21 19:21:26.826954"
569,"Katy Perry Skip Marley","Chained To The Rhythm","2018-11-21 19:17:56.179077"
570,"Cyndi Lauper","True Colors","2018-11-21 19:14:25.511710"
571,Hurts,"Wonderful Life","2018-11-21 19:10:24.796152"
572,"Neno Belan","Suncan Dan","2018-11-21 19:06:53.092009"
573,Faraoni,"Ne Bom Pozabil Na Stare Case","2018-11-21 19:02:50.370630"
574,"Dexys Midnight Runners","Come On Eileen","2018-11-21 19:00:19.873155"
575,"Portugal The Man","Feel It Still","2018-11-21 19:00:19.871833"
576,"Guns N' Roses","November Rain","2018-11-21 18:48:18.019021"
577,"Shawn Mendes",Stiches,"2018-11-21 18:45:17.546128"
578,Manuella,"Blue And Red","2018-11-21 18:40:16.559064"
579,"Laura Branigan",Gloria,"2018-11-21 18:36:45.992965"
580,Rihanna,"We Found Love","2018-11-21 18:33:15.462539"
581,"Whitney Houston","I Wanna Dance With Sombody (Who Loves Me)","2018-11-21 18:29:44.870335"
582,"Maria Mckee","Show Me Heaven","2018-11-21 18:29:44.869758"
583,"Matt Simons","Catch & Release","2018-11-21 18:19:41.970417"
584,"Gina G.","Just A Little Bit","2018-11-21 18:16:11.346304"
585,Avtomobili,"Pot Domov","2018-11-21 18:12:10.549542"
586,"Kelly Clarkson",Breakaway,"2018-11-21 18:08:09.814987"
587,Supertramp,"The Logical Song","2018-11-21 18:05:39.401929"
588,"No Mercy","When I Die","2018-11-21 18:02:38.888679"
589,"Imagine Dragons",Thunder,"2018-11-21 18:02:38.886678"
590,Tangels,"Life Goes Up","2018-11-21 17:51:06.995655"
591,"Vlado Kreslin","Z Gorickega V Piran","2018-11-21 17:47:06.376750"
592,"Nina Pušlar","To Mi Je Všec","2018-11-21 17:43:35.736888"
593,"Pop Design","Poklici Me Nocoj","2018-11-21 17:40:05.081292"
594,California,"1000 Kilometrov","2018-11-21 17:36:34.387787"
595,"Challe Salle",Lagano,"2018-11-21 17:33:03.590482"
596,"Amy Winehouse Feat. Mark Ronson",Valerie,"2018-11-21 17:32:03.326873"
597,Alexia,"Uh La La La","2018-11-21 17:19:01.090902"
598,"Bruce Springsteen","Dancing In The Dark","2018-11-21 17:19:01.089620"
599,"Lost Frequencies",Reality,"2018-11-21 17:13:58.764230"
600,"Celine Dion","The Power Of Love","2018-11-21 17:12:58.627718"
601,"Challe Salle Erik",Letim,"2018-11-21 17:06:57.794504"
602,"Sixpence None The Richer","There She Goes","2018-11-21 17:02:26.512999"
603,"Kim Wilde","You Keep Me Hangin On","2018-11-21 17:01:56.441755"
604,"Tina Turner","I Don't Wanna Fight","2018-11-21 16:47:54.149380"
