id,artist,title,date_added
812,"Eros Ramazzotti","Un Emozione Per Sempre","2018-11-20 18:36:10.895438"
813,Sandra,"Everlasting Love","2018-11-20 18:33:10.543197"
814,"Bryan Adams","Cloud Number Nine","2018-11-20 18:33:10.540090"
815,"The Cranberries",Linger,"2018-11-20 18:23:39.443085"
816,"Jan Plestenjak","Stara Dobra","2018-11-20 18:20:39.104094"
817,"Vaya Con Dios","Nah Neh Nah","2018-11-20 18:18:38.873926"
818,"George Michael",Faith,"2018-11-20 18:14:38.405061"
819,"Alice Merton","No Roots","2018-11-20 18:10:37.950075"
820,Roxette,Joyride,"2018-11-20 18:06:37.482914"
821,Killers,Human,"2018-11-20 18:02:06.950219"
822,"Status Quo","In The Army Now","2018-11-20 18:01:36.889849"
823,"Jessica Folcker","How Will I Know Who You Are","2018-11-20 17:51:04.611875"
824,Kantor,"Ljubezen Iz Šolskih Dni","2018-11-20 17:48:04.262375"
825,Neisha,"Zaradi Upanja","2018-11-20 17:44:03.815688"
826,"Nika Zorjan Jonatan Haller",Luna,"2018-11-20 17:40:33.386526"
827,"Andet Akvepop",Za2,"2018-11-20 17:37:32.029841"
828,"1x Band","Tih Deževen Dan","2018-11-20 17:34:01.618227"
829,"Lea Likar","Vsi Vedo","2018-11-20 17:30:01.133969"
830,"Patrick Swayze","She's Like The Wind","2018-11-20 17:29:01.016336"
831,"Big Mountain","Baby I Love Your Way","2018-11-20 17:17:28.686469"
832,Abba,"The Winner Takes It All","2018-11-20 17:13:58.314177"
833,"Alvaro Soler",Sofia,"2018-11-20 17:12:58.198059"
834,Corrs,"What Can I Do","2018-11-20 17:05:57.420478"
835,"Shakin' Stevens","You Drive Me Crazy","2018-11-20 17:01:26.883506"
836,"One Republic",Secrets,"2018-11-20 17:00:56.826566"
837,"Shania Twain","That Don't Impress Me Much","2018-11-20 16:46:54.811019"
838,Bangles,"Manic Monday","2018-11-20 16:43:24.381121"
839,"George Michael Queen","Somebody To Love","2018-11-20 16:36:53.607530"
840,"Bon Jovi","Livin On A Prayer","2018-11-20 16:33:23.202940"
841,Shakira,"Don't Bother","2018-11-20 16:30:22.853598"
842,Inxs,"Beautiful Girl","2018-11-20 16:29:22.734041"
843,"Elton John","I'm Still Standing","2018-11-20 16:16:51.286237"
844,"Gušti Polona Kasal","Vedno Zame","2018-11-20 16:12:50.752283"
845,Texas,"Summer Son","2018-11-20 16:09:20.344292"
846,Nena,"99 Luft Ballons","2018-11-20 16:05:19.891815"
847,"Kygo Miguel","Remind Me To Forget","2018-11-20 16:01:49.491788"
848,"Deep Blue Something","Breakfast At Tiffanys","2018-11-20 16:01:19.433802"
849,Heart,"All I Wanna Do Is Make Love To You","2018-11-20 15:47:46.865983"
850,"Steve Miller Band","The Joker","2018-11-20 15:44:16.448639"
851,"Shawn Mendes","Treat You Better","2018-11-20 15:41:16.119037"
852,"All 4 One","I Swear","2018-11-20 15:37:45.723376"
853,"Rick Astley","Never Gonna Give You Up","2018-11-20 15:33:15.249597"
854,"Mel C","First Day Of My Life","2018-11-20 15:32:45.205761"
855,"Joe Cocker","Summer In The City","2018-11-20 15:20:42.811352"
856,"Dead Or Alive","You Spin Me Round","2018-11-20 15:16:42.374148"
857,Tabu,"Pesek In Dotik","2018-11-20 15:11:11.782086"
858,"Duft Punk Pharrel Williams","Get Lucky","2018-11-20 15:08:11.448149"
859,Cher,"Love And Understanding","2018-11-20 15:03:40.949385"
860,"Fergal Sharkey","A Good Heart","2018-11-20 15:03:10.892908"
861,"Maroon 5 Christina Aguilera","Moves Like Jagger","2018-11-20 14:49:38.272826"
862,Djavoli,Ivona,"2018-11-20 14:46:37.932567"
863,"Cutting Crew","(I Just) Died In Your Arms","2018-11-20 14:43:37.150044"
864,"Jonas Blue William Singe",Mama,"2018-11-20 14:38:36.615655"
865,"Eternal & Bebe Winans","I Wanna Be The Only One","2018-11-20 14:34:36.101849"
866,"Doobie Brothers","Listen To The Music","2018-11-20 14:31:05.664384"
867,"Sara Lamprecnik","Ti In Vesolje","2018-11-20 14:30:05.485105"
868,Chumbawamba,Tubthumping,"2018-11-20 14:19:03.916301"
869,Queen,"A Kind Of Magic","2018-11-20 14:15:03.427086"
870,Dnce,"Cake By The Ocean","2018-11-20 14:11:02.986978"
871,Madonna,Frozen,"2018-11-20 14:07:02.476845"
872,"David Bowie","Let's Dance","2018-11-20 14:03:01.742465"
873,"Elie Goulding",Lights,"2018-11-20 14:02:31.683394\"
874,"Bryan Ferry","Let's Stick Together","2018-11-20 13:50:00.249067"
875,Snap,"Rhythm Is A Dancer","2018-11-20 13:46:29.882518"
876,"X Ambassadors",Renegades,"2018-11-20 13:41:59.361792"
877,"Pointer Sisters",Jump,"2018-11-20 13:38:59.040635"
878,"Nina Pušlar","Ni Ona","2018-11-20 13:34:58.571468"
879,"Jimmy Somerville","To Love Somebody","2018-11-20 13:30:58.115405"
880,"Nelly Furtado","I'm Like A Bird","2018-11-20 13:29:58.000380"
881,"Michael Jackson","You Are Not Alone","2018-11-20 13:18:56.848977"
882,Lp,"Lost On You","2018-11-20 13:14:56.367975"
883,U2,One,"2018-11-20 13:12:26.106876"
884,"Richard Marx",Hazard,"2018-11-20 13:08:25.674384"
885,"John Paul Young","Love Is In The Air","2018-11-20 13:04:55.283404"
886,"Tom Walker","Leave A Light On","2018-11-20 13:01:54.942474"
887,"Kim Wilde","You Came","2018-11-20 13:01:24.877044"
888,"Celine Dion","My Heart Will Go On","2018-11-20 12:47:52.202247"
889,"Plavi Orkestar","Kad Ti Ljubav Ime Prozove","2018-11-20 12:44:51.857215"
890,"Tina Turner","The Best","2018-11-20 12:41:21.466967"
891,Sia,Chandelier,"2018-11-20 12:38:21.133037"
892,"Faith No More","I'm Easy","2018-11-20 12:35:20.805082"
893,"Frankie Goes To Hollywood",Relax,"2018-11-20 12:34:50.755251"
894,Anastacia,"Left Outside Alone","2018-11-20 12:31:19.211425"
895,"Liam Payne Rita Ora","For You","2018-11-20 12:23:18.289961"
896,"Red Hot Chili Peppers","Under The Bridge","2018-11-20 12:16:17.285174"
897,S.I.T.,Vroce,"2018-11-20 12:12:16.571974"
898,"Jasper Isley","Caravan Of Love","2018-11-20 12:08:16.136403"
899,Bajaga,"220 U Voltima","2018-11-20 12:04:15.656887"
900,"Annie Lennox","Walking On Broken Glass","2018-11-20 12:00:13.781069"
901,"Bruno Mars","Locked Out Of Heaven","2018-11-20 11:59:43.709658"
902,"Cnco Little Mix","Reggaeton Lento","2018-11-20 11:47:41.112810"
903,"Enrique Iglesias Whitney Houston","Could I Have This Kiss Forever","2018-11-20 11:44:40.727074"
904,"Robbie Williams Nicole Kidman","Somethin' Stupid","2018-11-20 11:40:40.275731"
905,Martika,"Toy Soldiers","2018-11-20 11:37:09.849817"
906,"Kelly Clarkson","Heartbeat Song","2018-11-20 11:33:09.317668"
907,Roxette,Dangerous,"2018-11-20 11:30:08.955592"
908,"Eros Ramazzotti","Adesso Tu","2018-11-20 11:29:38.898759"
909,California,"Stara Barka","2018-11-20 11:18:37.686385"
910,"Tom Petty & The Heartbreakers","Free Falling","2018-11-20 11:18:37.685740"
911,"Holly Johnson",Americanos,"2018-11-20 11:12:07.004944"
912,"Gipsy Kings",Volare,"2018-11-20 11:07:05.454489"
913,"Ed Sheeran",Happier,"2018-11-20 11:03:04.976834"
914,"No Mercy","Where Do You Go","2018-11-20 11:03:04.976326"
915,Europe,"The Final Countdown","2018-11-20 10:48:03.213369"
916,Zucchero,"Baila (Sexy Thing)","2018-11-20 10:44:01.451622"
917,Hanson,"Mmm Bop","2018-11-20 10:40:31.013979"
918,Avtomobili,"Gospodar Tvojega Srca","2018-11-20 10:34:59.976926"
919,"Mike & The Mechanics","The Living Years","2018-11-20 10:31:59.618838"
920,"Portugal The Man","Feel It Still","2018-11-20 10:31:29.560221"
921,Sting,"Fields Of Gold","2018-11-20 10:19:58.085614"
922,Ub40,"Higher Ground","2018-11-20 10:16:27.596234"
923,Sigma,"Nobody To Love","2018-11-20 10:12:57.178768"
924,"James Blunt","Carry You Home","2018-11-20 10:10:26.898324"
925,Boyzone,Words,"2018-11-20 10:06:56.483851"
926,"Tiesto & Dzeko Feat. Preme & Post Malone","Jackie Chan","2018-11-20 10:02:25.936566"
927,"Bon Jovi","You Give Love A Bad Name","2018-11-20 10:02:25.934851"
928,Santana,Smooth,"2018-11-20 09:48:53.285641"
929,"Parni Valjak","Uhvati Ritam","2018-11-20 09:44:52.776338"
930,"Daniel Powter","Bad Day","2018-11-20 09:44:52.775244"
931,"Sophie B. Hawkins","Right Beside You","2018-11-20 09:37:20.559639"
932,"David Guetta Sia",Flames,"2018-11-20 09:34:20.211414"
933,"The Rolling Stones","Start Me Up","2018-11-20 09:34:05.795343"
935,"Eros Ramazzotti","Un Emozione Per Sempre;2018-11-26 10:04:11.418560","2018-11-26 10:04:11.418577"
1115,Agnes,"Release Me","2018-11-26 11:19:32.980840"
1116,Prince,"The Most Beautiful Girl The World","2018-11-26 11:19:32.985138"
1117,"Unknown Artist","Ed Sheran Photograph Teaser","2018-11-26 11:26:34.142668"
1118,Fugees,"Killing Me Softly","2018-11-26 11:26:34.146235"
1119,"Ed Sheeran",Photograph,"2018-11-26 11:32:07.028941"
1120,"Bruce Springsteen","I'm On Fire","2018-11-26 11:35:37.709768"
1121,"Nika Zorjan Jonatan Haller",Luna,"2018-11-26 11:39:38.896041"
1122,"Take That","How Deep Is Your Love","2018-11-26 11:41:39.194880"
1123,"Lady Gaga","The Edge Of Glory","2018-11-26 11:45:11.224565"
1124,"Wilson Phillips","Hold On","2018-11-26 11:48:11.784734"
1125,"Andru Donalds","All Out Of Love","2018-11-26 12:00:19.335821"
1126,"Kim Wilde","Four Letter Word","2018-11-26 12:00:19.341684"
1127,"David Guetta Sia",Flames,"2018-11-26 12:03:50.004201"
1128,"Lighthouse Family",Free,"2018-11-26 12:07:20.517693"
1129,"Fleetwood Mac","Little Lies","2018-11-26 12:10:52.479335"
1130,Magnifico,"Technique Magnifique","2018-11-26 12:15:23.145867"
1131,"One Republic",Secrets,"2018-11-26 12:18:53.702445"
1132,Pretenders,"Back On The Chain Gang","2018-11-26 12:28:55.328640"
1133,"Deep Blue Something","Breakfast At Tiffanys","2018-11-26 12:29:55.501910"
1134,"Mark Ronson Bruno Mars","Uptown Funk","2018-11-26 12:33:56.112332"
1135,"Rod Stewart","I Don't Want To Talk About It","2018-11-26 12:37:26.669003"
1136,Modjo,"Lady (Hear Me Tonight)","2018-11-26 12:41:58.658532"
1137,Connells,"74 75","2018-11-26 12:45:29.225833"
1138,"Richard Marx","Right Here Waiting","2018-11-26 12:48:29.709614"
1139,"Tina Turner","Better Be Good To Me","2018-11-26 13:01:32.143457"
1140,"Elie Goulding",Lights,"2018-11-26 13:01:32.146758"
1141,Rem,"Man On The Moon","2018-11-26 13:06:33.184159"
1142,"Wham George Michael","Wake Me Up Before You Go Go","2018-11-26 13:09:33.674473"
1143,"Sweet Peak Ina Shai",Grafit,"2018-11-26 13:12:34.332485"
1144,"Geri Halliwell","It's Raining Men","2018-11-26 13:17:35.101178"
1145,"Jonas Blue",Rise,"2018-11-27 07:08:54.190395"
1146,"Billy Joel","Uptown Girl","2018-11-27 07:08:54.194471"
1147,"Spice Girls","Viva Forever","2020-05-12 00:34:14.637734"
1148,"No Angels","Still In Love With You","2020-05-12 00:37:46.447235"
1149,"Jason Donovan","Too Many Broken Hearts","2020-05-12 00:40:47.260659"
1150,Cher,"Just Like Jesse James","2020-05-12 00:43:48.071616"
1151,"Marshmello & Chvrches","Here With Me","2020-05-12 00:47:49.117180"
1152,"Culture Beat","Mr. Vain","2020-05-12 00:50:49.896074"
1153,"Bon Jovi","In These Arms","2020-05-12 00:54:50.947986"
1154,"Richard Marx",Hazard,"2020-05-12 00:57:51.696161"
1155,Alphaville,"Forever Young","2020-05-12 01:00:52.520503"
1156,"Lady Ga Ga",Paparazzi,"2020-05-12 01:04:53.459824"
1157,Madonna,"American Pie","2020-05-12 01:08:54.525603"
1158,"Drustvo Mrtvih Pesnikov","Ti Si Vse","2020-05-12 01:13:55.823818"
1159,Double,"The Captain Of Her Heart","2020-05-12 01:18:57.077274"
1160,Passengers,"Let Her Go","2020-05-12 01:22:58.119530"
1161,"2 Unlimited","No Limit","2020-05-12 01:26:59.139999"
1162,September,"Cry For You","2020-05-12 01:31:00.162658"
1163,"Andrea Bocelli + Sarah Brightman","Time To Say Goodbye (Con Te Partiro)","2020-05-12 01:35:01.181644"
1164,U2,"Angel Of Harlem","2020-05-12 01:39:02.178548"
1165,"Charlie Puth","How Long","2020-05-12 01:44:03.470992"
1166,Prince,Cream,"2020-05-12 01:48:04.493466"
1167,"John Waite","Missing You","2020-05-12 01:52:05.503386"
1168,"Justin Timberlake [+] Chris Stapleton","Say Something","2020-05-12 01:56:06.509537"
1169,"Zucchero [+] Paul Young","Senza Una Donna","2020-05-12 02:01:08.328855"
1170,"Avicii Feat. Aloe Blacc",Sos,"2020-05-12 02:05:09.337077"
1171,Sandra,"Everlasting Love","2020-05-12 02:08:10.102005"
1172,"Will To Power","I'm Not In Love","2020-05-12 02:11:10.868703"
1173,"Kim Carnes","Bette Davis Eyes","2020-05-12 02:14:11.673365"
1174,"Ozzy Osbourne",Dreamer,"2020-05-12 02:18:12.684966"
1175,"Wilson Phillips","Hold On","2020-05-12 02:23:14.035970"
1176,"Elton John","Don't Let The Sun Goes Down On Me","2020-05-12 02:26:14.851073"
1177,"Billy Joel & Elton John",Allentown,"2020-05-12 02:32:16.546607"
1178,"Elton John [+] Bryan Adams","Sad Songs (Say So Much)","2020-05-12 02:37:17.767454"
1179,"Mariah Carey",Emotions,"2020-05-12 02:40:18.430906"
1180,"Klara Jazbec","Vse Se Lahko Zgodi","2020-05-12 02:45:19.638310"
1181,"Tom Cochrane","Life Is A Highway","2020-05-12 02:48:20.437986"
1182,Pink,"What About Us","2020-05-12 02:52:21.430751"
1183,"No Mercy","When I Die","2020-05-12 02:56:22.401338"
1184,"Enrique Iglesias","The Rhythm Divine","2020-05-12 02:58:22.938887"
1185,"Chris Rea","The Road To Hell","2020-05-12 03:01:23.681608"
1186,"Jonas Blue Feat. Dakota","Fast Car","2020-05-12 03:06:24.876728"
1187,"Lutricia Mcneal","Someone Loves You Honey","2020-05-12 03:10:25.861091"
1188,"Aleksander Mezek",Julija,"2020-05-12 03:13:26.572343"
1189,"Joan Jett","I Love Rock And Roll","2020-05-12 03:17:27.649454"
1190,"Tiesto & Dzeko Feat. Preme & Post Malone","Jackie Chan","2020-05-12 03:20:28.376205"
1191,"Destiny`s Child",Nonono,"2020-05-12 03:24:29.345826"
1192,"James Bay","If You Ever Want To Be In Love","2020-05-12 03:27:30.129103"
1193,"Bon Jovi",Always,"2020-05-12 03:31:31.131530"
1194,"Stevie Wonder","I Just Called To Say I Love You","2020-05-12 03:35:32.160050"
1195,"Ed Sheeran & Justin Bieber","I Don't Care","2020-05-12 03:39:33.210184"
1196,"Geri Halliwell","Lift Me Up","2020-05-12 03:43:34.333361"
1197,Champaign,"How About Us","2020-05-12 03:48:35.591979"
1198,"Maroon 5 [+] Cardi B","Girls Like You","2020-05-12 03:52:36.670395"
1199,"Bee Gees",Alone,"2020-05-12 03:56:38.194552"
1200,Boyzone,Words,"2020-05-12 03:59:39.008918"
1201,"Tina Turner","I Don't Wanna Lose You","2020-05-12 04:02:39.798178"
1202,"Katy Perry [+] Skip Marley","Chained To The Rhythm","2020-05-12 04:05:40.532008"
1203,"Bruce Springsteen","I'm On Fire","2020-05-12 04:09:41.516635"
1204,Jovanotti,"L'Ombelico Del Mondo","2020-05-12 04:11:41.986055"
1205,"Crowded House","Don't Dream It's Over","2020-05-12 04:16:43.458567"
1206,"James Blunt","Carry You Home","2020-05-12 04:19:44.218269"
1207,"Tears For Fears","Everybody Wants To Rule The World","2020-05-12 04:23:45.252118"
1208,"Dean Lewis","Be Alright","2020-05-12 04:27:46.323357"
1209,"Psihomodo Pop",Frida,"2020-05-12 04:31:47.379987"
1210,Alya,"Srce Za Srce","2020-05-12 04:34:48.203607"
1211,Rednex,"Cotton Eye Joe","2020-05-12 04:38:49.509536"
1212,Imagination,"Just An Illusion","2020-05-12 04:41:50.276330"
1213,"Coolio Feat. L.V.","Gangsta's Paradise","2020-05-12 04:47:51.739313"
1214,Milow,"Ayo Technology","2020-05-12 04:52:52.904876"
1215,"Annie Lennox",Why,"2020-05-12 04:55:53.703837"
1216,"Backstreet Boys","I Want It That Way","2020-05-12 04:58:54.501719"
1217,"Panic! At The Disco","High Hopes","2020-05-12 05:01:55.247035"
1218,"Take That","Back For Good","2020-05-12 05:04:55.942297"
1219,"Martin Krpan","Se Je Cas","2020-05-12 05:08:56.904285"
1220,Modjo,"Lady (Hear Me Tonight)","2020-05-12 05:13:58.071518"
1221,"Roxy Music","Jealous Guy","2020-05-12 05:16:58.862682"
1222,"Diana Ross","Chain Reaction","2020-05-12 05:22:00.153199"
1223,"Celine Dion","The Power Of Love","2020-05-12 05:26:01.240902"
1224,"Cazzafura Feat. Senidah","Men Vse","2020-05-12 05:31:02.806662"
1225,"Cyndi Lauper","She Bop","2020-05-12 05:35:03.856644"
1226,"Ace Of Base","The Sign","2020-05-12 05:38:04.658811"
1227,"Nina Puslar","Svet Je Tvoj","2020-05-12 05:41:05.446663"
1228,"Real Mccoy","Another Night","2020-05-12 05:45:06.376966"
1229,"Bryan Adams",Heaven,"2020-05-12 05:49:07.470521"
1230,"Bellamy Brothers","Let Your Love Flow","2020-05-12 05:53:08.452248"
1231,"Eurythmics [+] Annie Lennox","There Must Be An Angel","2020-05-12 05:59:09.874758"
1232,"Michael Buble","It's A Beautiful Day","2020-05-12 06:04:11.079510"
1233,"Tanja Ribic","Zbudi Se","2020-05-12 06:08:12.051055"
1234,Prizma,Pogum,"2020-05-12 06:11:12.810407"
1235,Starship,"Nothings Gonna Stop Us Now","2020-05-12 06:14:13.552021"
1236,"Selena Gomez","Lose You To Love Me","2020-05-12 06:18:14.581046"
1237,Inxs,"By My Side","2020-05-12 06:22:15.808070"
1238,Shakira,"Whenever Wherever","2020-05-12 06:31:18.137569"
1239,"Inner Circle","Games People Play","2020-05-12 06:34:19.009341"
1240,"Kygo & Whitney Houston","Higher Love","2020-05-12 06:38:20.179619"
1241,"Modern Talking","Cheri Cheri Lady","2020-05-12 06:42:21.242044"
1242,"Rod Stewart","Rhythm Of My Heart","2020-05-12 06:45:21.969861"
1243,"Depeche Mode","Just Can't Get Enough","2020-05-12 06:49:22.944186"
1244,"Calvin Harris & Rag N Bone Man",Giant,"2020-05-12 06:52:23.724562"
1245,"The Cranberries",Linger,"2020-05-12 07:02:26.370944"
1246,"Lewis Capaldi","Before You Go","2020-05-12 07:06:27.432597"
1247,"Bucks Fizz","Making Your Mind Up","2020-05-12 07:10:28.654273"
1248,"The Cure","Friday I'm In Love","2020-05-12 07:12:29.227096"
1249,A-Ha,"The Sun Always Shines On Tv","2020-05-12 07:16:30.212033"
1250,"Atomic Kitten","Whole Again","2020-05-12 07:19:30.964206"
1251,Madonna,"Material Girl","2020-05-12 07:22:31.724001"
1252,"Imagine Dragons",Demons,"2020-05-12 07:32:34.263236"
1253,"Pet Shop Boys","Always On My Mind","2020-05-12 07:35:35.067512"
1254,"Hamo [+] Rudi Bucar","Dolgo Nisva Pila","2020-05-12 07:41:36.593820"
1255,"Marit Larsen","If A Song Could Get Me You","2020-05-12 07:44:37.403846"
1256,"","Vt Ekspres: 2020-05-12 07:11","2020-05-12 07:47:38.165863"
1257,"Lady Gaga","Stupid Love","2020-05-12 07:48:38.439157"
1258,"Lenny Kravitz","Fly Away","2020-05-12 07:51:39.191995"
1259,"Luis Fonsi [+] Demi Lovato","Echame La Culpa","2020-05-12 07:54:40.000278"
1260,Sting,"English Man In New York","2020-05-12 08:02:41.851895"
1261,"David Guetta & Usher","Without You","2020-05-12 08:06:43.056645"
1262,"Lena Meyer Landrut",Satellite,"2020-05-12 08:10:44.135081"
1263,"Neca Falk","Vsi Ljudje Hitijo","2020-05-12 08:12:44.681763"
1264,"Joe Cocker",Tonight,"2020-05-12 08:16:45.745723"
1265,"Bryan Adams","Can't Stop This Thing We Started","2020-05-12 08:20:46.768638"
1266,"Spiller [+] Sophie Ellis Bextor",Groovejet,"2020-05-12 08:30:49.283769"
1267,Cardigans,Lovefool,"2020-05-12 08:34:50.343378"
1268,"Gianna Nannini","Bello E Impossibile","2020-05-12 08:38:51.410440"
1269,"Clean Bandit & Zara Larsson",Symphony,"2020-05-12 08:43:52.691132"
1270,"Eros Ramazzotti","Piu Bella Cosa","2020-05-12 08:47:53.710806"
1271,"Hall & Oates",Maneater,"2020-05-12 08:50:54.526992"
1272,Liquido,Narcotic,"2020-05-12 09:00:57.008784"
1273,"Maroon 5",Memories,"2020-05-12 09:04:58.042288"
1274,"Men At Work","Down Under","2020-05-12 09:07:58.837728"
1275,"Alexander Rybak",Fairytale,"2020-05-12 09:13:00.122614"
1276,"The Rolling Stones","Anybody Seen My Baby","2020-05-12 09:15:00.668632"
1277,"Christina Aguilera",Beautiful,"2020-05-12 09:18:01.644605"
1278,"George Michael",Faith,"2020-05-12 09:22:02.661773"
1279,Rihanna,"We Found Love","2020-05-12 09:32:05.243111"
1280,"Al Corley","Square Rooms","2020-05-12 09:36:06.286456"
1281,"Dj Bobo",Everybody,"2020-05-12 09:39:07.084131"
1282,"Hamo & Tribute 2 Love","Prva Vrsta","2020-05-12 09:45:08.629495"
1283,"Dexys Midnight Runners","Come On Eileen","2020-05-12 09:49:09.664748"
1284,"Ava Max","So Am I","2020-05-12 09:53:10.650180"
1285,"Katrina & The Waves","Walking On Sunshine","2020-05-12 10:00:12.554450"
1286,"David Guetta & Kelly Rowland","When Love Takes Over","2020-05-12 10:05:13.860489"
1287,Nino,"Rabim Te","2020-05-12 10:08:14.604594"
1288,Abba,Waterloo,"2020-05-12 10:12:15.594696"
1289,"Phil Collins","In The Air Tonight","2020-05-12 10:15:16.460209"
1290,"Marshmello & Bastille",Happier,"2020-05-12 10:49:36.480606"
1291,"Vanessa Paradis","Be My Baby","2020-05-12 10:52:51.111432"
1292,Pink,"Beautiful Trauma","2020-05-12 11:01:58.011838"
1293,Enya,"Anywhere Is","2020-05-12 11:06:00.477238"
1294,Nicole,"Ein Bischen Frieden","2020-05-12 11:11:03.770328"
1295,Toto,Africa,"2020-05-12 11:14:06.832128"
1296,"Billy Idol","Dancing With Myself","2020-05-12 11:19:09.087586"
1297,Roxette,Dangerous,"2020-05-12 11:24:13.411402"
1298,"Shakira [+] Freshlyground","Waka Waka (This Time For Africa)","2020-05-12 11:31:17.707588"
1299,Beloved,"Sweet Harmony","2020-05-12 11:34:20.804530"
1300,"Billy Joel","We Didn't Start The Fire","2020-05-12 11:37:22.144618"
1301,"Shania Twain",Ka-Ching!,"2020-05-12 11:41:24.595130"
1302,"Frankie Goes To Hollywood",Relax,"2020-05-12 11:45:28.048203"
1303,"Michael Jackson","Heal The World","2020-05-12 11:47:29.366535"
1304,"Duke Dumont","Ocean Drive","2020-05-12 11:52:33.797245"
1305,Ub40,"I Got You Babe","2020-05-12 12:01:38.526942"
1306,"Daniel Powter","Bad Day","2020-05-12 12:04:40.992259"
1307,"Toto Cutugno",Insieme,"2020-05-12 12:08:44.004057"
1308,"Vili Resnik","Naj Bogovi SliĹĄijo","2020-05-12 12:12:46.360243"
1309,"T'Pau","China In Your Hand","2020-05-12 12:15:47.728375"
1310,"Harry Styles","Adore You","2020-05-12 12:19:50.151996"
1311,Scarlet,"Independent Love Song","2020-05-12 12:23:52.283736"
1312,"Scissor Sisters","I Don't Feel Like Dancin'","2020-05-12 12:30:58.684574"
1313,Zucchero,"My Love","2020-05-12 12:36:01.307825"
1314,"Georgio Moroder","Together In Electric Dreams","2020-05-12 12:39:04.226981"
1315,"David Guetta [+] Sia",Flames,"2020-05-12 12:43:06.856138"
1316,Queen,"The Show Must Go On","2020-05-12 12:46:08.344734"
1317,"Huey Lewis & The News","Power Of Love","2020-05-12 12:50:11.276086"
1318,"Billie Eilish","Bad Guy","2020-05-12 12:54:14.001309"
1319,Haddaway,"What Is Love","2020-05-12 13:02:18.858075"
1320,"Dua Lipa","Don't Start Now","2020-05-12 13:04:20.596749"
1321,Madonna,"Like A Prayer","2020-05-12 13:07:23.221114"
1322,"Olsen Brothers","Fly On The Wings Of Love","2020-05-12 13:10:24.561721"
1323,Westlife,Mandy,"2020-05-12 13:13:27.899224"
1324,"Kim Wilde","You Keep Me Hanging On","2020-05-12 13:17:31.146145"
1325,"Kenny Loggins",Footloose,"2020-05-12 13:21:33.300828"
1326,"Jess Glynne","Hold My Hand","2020-05-12 13:29:38.738887"
1327,"Suzanne Vega",Luka,"2020-05-12 13:32:40.585261"
1328,"Elton John","Can You Feel The Love Tonight","2020-05-12 13:35:43.184737"
1329,"","Bodite V Dobri DruĹžbi In Si Oglejte Dokumentarec O OkuĹžbi","2020-05-12 13:39:46.338364"
1330,Killers,Human,"2020-05-12 13:40:46.596345"
1331,"Queen [+] David Bowie [+] David Lowie","Under Pressure","2020-05-12 13:45:50.680906"
